Type,Model,kH/s,C,M,V,W,Miner,Config,Notes (OS/TEMPS/DRIVERS/HARDWARE/FIRMWARE)
AMD GPU,"7950, 100352VXSR",644,1135,1480,,238,cgminer 3.4.3,-I 20 -w 256 --thread-concurrency 15236 --gpu-powertune 20,"Windows 7 x64, 62C, Catalyst 13.9, SDK 2.7"
AMD GPU,"7950, 11196-00",650,1075,1250,0.962 U,,cgminer 3.2.1,-I 20 -w 256 --thread-concurrency 24000,"SMOS, 83C, rack server, 775 Quad"
AMD GPU,"7950, HD7950-DC2-3GD5-V2",660,1200,1700,1.250 ?,,GUIMiner-scrypt v0.03,-g 1 -w 256 --thread-concurrency 21712,"Windows 8, Catalyst 13.1"
AMD GPU,"7950, R7950TF3GD50",665,1100,1450,Y,,cgminer 3.7.2,-I 20,"Windows 7, 60C, watercooled"
AMD GPU,"7950, 100352-2L",670,1080,1500,1.090 U,250,cgminer 3.4.0,-I 20 -g 1 -w 256 --thread-concurrency 24000 --gpu-powertune 20,"BAMT 1.1c, 65C, Gigabyte GA-990FXA-UD3, AMD Sempron 145, 4GB RAM, powered x16-x16 risers, 24920C00.S41 firmware"
AMD GPU,"7950, GV-R795WF3-3GD",670,1120,1225,1.090 Y,240,cgminer 3.5.0 (mod),-I 19 --thread-concurrency 24000 --gpu-powertune 20,"BAMT, 75C, ASUS M5A99FX PRO R2.0, Sempron 145, 4GB RAM, powered risers, 5xGPU, F43 firmware"
AMD GPU,"7950, GV-R795WF3-3GD",676,1100,1250,1.090 Y,220,cgminer,-I 20 --gpu-powertune -10,"Debian 7, 70C, 1GB RAM, Sempron 145, video cards purchased in April, F43 firmware"
AMD GPU,"7950, R7950 Twin Frozr 3GD5/OC",690,1125,1500,1.087 N,230,"GUIMiner-scrypt, cgminer 3.1.0",,"Windows 7, 70C"
AMD GPU,"7950, 00352-2L",702,1150,1500,,,cgminer 3.1.0,-I 20 -g 1 -w 256 --gpu-powertune 20,"Catalyst 13.4, Xubuntu 13.4, not stable"
AMD GPU,"7950, GV-R795WF3-3GD",702,1150,1250,1.090 Y,240,cgminer,-I 20 --gpu-powertune -10,"Debian 7, 70C, 1GB RAM, Sempron 145, video cards purchased in April, F43 firmware"
AMD GPU,"7950, R7950 Twin Frozr 3GD5/OC",702,1140,1250,0.962 ?,,cgminer 3.5.1,-I 20 -w 256 --thread-concurrency 24000 --gpu-powertune 20,"BAMT, 72, v277 firmware may have been modified to unlock voltage"
AMD GPU,"7950, GV-R795WF3-3GD",715,1175,1250,1.000 U,260,cgminer,-I 20 --gpu-powertune -10,"Debian 7, 70C, 1GB RAM, Sempron 145, video cards purchased in April, F43 modified firmware, http://www.intern3ts.com/stuffs/716kHps.png"
AMD GPU,"7950, FX-795A-TDKC",725,1200,1650,1.250 ?,,cgminer 3.1.0,-I 20 -g 1 -w 256,"Windows 7, Core 2 Duo, 4GB RAM, 78C with extreme cooling"
AMD GPU,"7950, GV-R795WF3-3GD",729,1200,1250,1.000 U,260,cgminer,-I 20 --gpu-powertune -10,"Debian 7, 70C, 1GB RAM, Sempron 145, video cards purchased in April, F43 modified firmware, http://www.intern3ts.com/stuffs/730kHps.png"
AMD GPU,"7950, HD7950DC2T3GD5V2",730,1170,1760,1.156 N,350,cgminer 3.3.1,-I 20 -g 1 -w 256 --thread-concurrency 22400,"Windows 7 x64, 72C, Catalyst 13.6beta2, G1620, 4GB RAM"
AMD GPU,"7970, FX-797A-TDFC",525,1050,1900,,,cgminer 2.11.4,-I 18 -g 2 -w 256 --shaders 2048 --gpu-powertune 20,
AMD GPU,"7970, H797QMT3G2M",540,1050,1400,1.170 Y,250,cgminer 3.5.0,-I 12 --thread-concurrency 14336 --gpu-powertune -5,"Ubuntu 13.04 x64, Catalyst 13.4, 51-68C, MSI 790FX-GD70, AMD Phenom II X4 960T, 16GB RAM, 4x GPUs"
AMD GPU,"7970, 11197-05-40G",620,1200,1700,1.250 Y,,cgminer 3.4.0,-I 13 -w 256 --thread-concurrency 8192,"Windows 7, 79C, i5-2500k"
AMD GPU,"7970, 100351SR",630,1050,1500,1.150 Y,,cgminer 3.1.0,-I 13 -g 2 --thread-concurrency 8192,"Windows 7, 70C, Catalyst 13.1, SDK 2.8"
AMD GPU,"7970, 11197-11",632,925,1375,,290,cgminer 3.1.0,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Catalyst 13.5b2, 77.5C, http://i42.tinypic.com/34exdsh.jpg"
AMD GPU,"7970, HD7970-DC2-3GD5",639,925,1375,,300,cgminer 3.5.0,-I 13 -g 2 -w 256 --thread-concurrency 8192 --gpu-powertune 20,74C
AMD GPU,"7970, 3GBD5-M2DHV2",640,1125,1575,1.170 Y,230,cgminer 3.4.0,-I 13 -w 256 --thread-concurrency 8192 --gpu-powertune 20,"windows 7, i7-3930K"
AMD GPU,"7970, GV-R797OC-3GD",650,1000,1375,0.850 Y,350,cgminer 3.5.0,-I 19 --thread-concurrency 25600,F71 firmware
AMD GPU,"7970, GV-R797OC-3GD",682,1000,1600,,204,cgminer 2.10.4,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Catalyst 12.10, 72C"
AMD GPU,"7970, Sapphire",700,1000,1500,1.175 ?,,cgminer 3.7.0,,"Windows 8.1, 68c, i7-3770, 8GB RAM, Gigabyte Z77"
